image,severity_count,severity_label,prob_crack,prob_dent,prob_paint_off,prob_scratch,pred_crack,pred_dent,pred_paint_off,pred_scratch,rc_impact_force,rc_metal_fatigue,rc_corrosion,dominant_cause
causal_data\aircraft damage\test\images\177_0_JPG_jpg.rf.7e4fedb5426f1aaa7cab5f2a1dc9e65d.jpg,2,Minor — 2 damage instance(s),0.0076,0.9960,0.0008,0.0073,0,1,0,0,0.6698,0.5237,0.4526,impact_force
causal_data\aircraft damage\test\images\177_13_JPG_jpg.rf.a3895ebbc894936c374bc53291e16281.jpg,2,Minor — 2 damage instance(s),0.0081,0.9960,0.0007,0.0066,0,1,0,0,0.6687,0.5249,0.4521,impact_force
causal_data\aircraft damage\test\images\177_14_JPG_jpg.rf.feb81a5f085e275c2695bece20004740.jpg,1,Minor — 1 damage instance(s),0.0190,0.9143,0.0258,0.0569,0,1,0,0,0.6298,0.5667,0.4680,impact_force
causal_data\aircraft damage\test\images\178_5_JPG_jpg.rf.9f78318d05cf5f49981e39b96d6d8d1f.jpg,3,Moderate — 3 damage instances,0.9339,0.7639,0.0004,0.0000,1,1,0,0,0.5950,0.6303,0.5017,metal_fatigue
causal_data\aircraft damage\test\images\179_14_JPG_jpg.rf.8ce68576edfac714f76628d65177c521.jpg,2,Minor — 2 damage instance(s),0.6366,0.0473,0.2688,0.0026,1,0,0,0,0.6074,0.6231,0.5229,metal_fatigue
causal_data\aircraft damage\test\images\179_17_JPG_jpg.rf.7296b90c28138356176d62ba29a9cd2f.jpg,1,Minor — 1 damage instance(s),0.2026,0.9316,0.0039,0.0016,0,1,0,0,0.6058,0.5806,0.4621,impact_force
causal_data\aircraft damage\test\images\179_20_JPG_jpg.rf.16ce48f166eb93ff6a338611574290b5.jpg,2,Minor — 2 damage instance(s),0.9316,0.7767,0.0004,0.0000,1,1,0,0,0.5817,0.6154,0.4742,metal_fatigue
causal_data\aircraft damage\test\images\17_24_JPG_jpg.rf.dd98b1f8757bc84193eb0ce2a1536211.jpg,4,Moderate — 4 damage instances,0.0171,0.9973,0.0002,0.0009,0,1,0,0,0.7016,0.5581,0.5032,impact_force
causal_data\aircraft damage\test\images\180_0_JPG_jpg.rf.b0425b583d71ef3286e633ca1ddcd40e.jpg,3,Moderate — 3 damage instances,0.8985,0.8981,0.0002,0.0000,1,1,0,0,0.6059,0.6095,0.4952,metal_fatigue
causal_data\aircraft damage\test\images\180_21_JPG_jpg.rf.54020a6c30bbccad69191ffb5d5d4427.jpg,3,Moderate — 3 damage instances,0.9042,0.8896,0.0002,0.0000,1,1,0,0,0.6043,0.6095,0.4945,metal_fatigue
causal_data\aircraft damage\test\images\180_22_JPG_jpg.rf.4d66f187d1bdb910f4cb625cbd65ace2.jpg,2,Minor — 2 damage instance(s),0.9645,0.5158,0.0006,0.0000,1,1,0,0,0.5807,0.6374,0.4981,metal_fatigue
causal_data\aircraft damage\test\images\180_6_JPG_jpg.rf.169889fa46e5d52e6b08b8604db2190b.jpg,3,Moderate — 3 damage instances,0.8963,0.8985,0.0002,0.0000,1,1,0,0,0.6055,0.6089,0.4942,metal_fatigue
causal_data\aircraft damage\test\images\181_10_JPG_jpg.rf.cd58a1ff8231bf0c74743c0ee1c50ef9.jpg,1,Minor — 1 damage instance(s),0.7368,0.7207,0.0017,0.0001,1,1,0,0,0.5724,0.6257,0.4569,metal_fatigue
causal_data\aircraft damage\test\images\181_19_JPG_jpg.rf.15b5622f4fabc123260fed9a46c32e8e.jpg,1,Minor — 1 damage instance(s),0.9862,0.0313,0.0043,0.0000,1,0,0,0,0.5273,0.6962,0.4954,metal_fatigue
causal_data\aircraft damage\test\images\181_1_JPG_jpg.rf.dccf3144d9abcf488fff5e9c97a93e1d.jpg,1,Minor — 1 damage instance(s),0.9801,0.0704,0.0038,0.0000,1,0,0,0,0.5429,0.6726,0.4891,metal_fatigue
causal_data\aircraft damage\test\images\181_3_JPG_jpg.rf.9d9cc514e4ae07fabcb395440652ad62.jpg,1,Minor — 1 damage instance(s),0.8718,0.6674,0.0014,0.0000,1,1,0,0,0.5830,0.6255,0.4763,metal_fatigue
causal_data\aircraft damage\test\images\182_13_JPG_jpg.rf.53e0ea7150c2c30716264b52fccae8c1.jpg,1,Minor — 1 damage instance(s),0.9843,0.0197,0.0065,0.0000,1,0,0,0,0.5208,0.7040,0.4977,metal_fatigue
causal_data\aircraft damage\test\images\182_2_JPG_jpg.rf.0a28cc7acec5e0085a2ee889b1d73d87.jpg,1,Minor — 1 damage instance(s),0.9813,0.0253,0.0067,0.0000,1,0,0,0,0.5261,0.6962,0.4927,metal_fatigue
causal_data\aircraft damage\test\images\182_4_JPG_jpg.rf.c7c3b4e03c69ba04b71a859efd7f8266.jpg,1,Minor — 1 damage instance(s),0.9871,0.0224,0.0051,0.0000,1,0,0,0,0.5248,0.7018,0.5031,metal_fatigue
causal_data\aircraft damage\test\images\182_6_JPG_jpg.rf.0ce12c6d69e6ce7483493540b89b25c1.jpg,1,Minor — 1 damage instance(s),0.9840,0.0195,0.0067,0.0000,1,0,0,0,0.5190,0.7045,0.4964,metal_fatigue
causal_data\aircraft damage\test\images\183_4_JPG_jpg.rf.5f16913e2c5ed94a0f3b7f98ba3db354.jpg,2,Minor — 2 damage instance(s),0.5851,0.8935,0.0011,0.0001,1,1,0,0,0.5976,0.6088,0.4705,metal_fatigue
causal_data\aircraft damage\test\images\183_6_JPG_jpg.rf.78df7db11c4d468ba1fdfef4e19fab83.jpg,1,Minor — 1 damage instance(s),0.9787,0.0768,0.0040,0.0000,1,0,0,0,0.5507,0.6688,0.4918,metal_fatigue
causal_data\aircraft damage\test\images\184_10_JPG_jpg.rf.07ee1973d95397aa396134d051900752.jpg,4,Moderate — 4 damage instances,0.9929,0.0368,0.0010,0.0000,1,0,0,0,0.5741,0.7241,0.5721,metal_fatigue
causal_data\aircraft damage\test\images\184_16_JPG_jpg.rf.7c421d8a123466918c450420de77702d.jpg,4,Moderate — 4 damage instances,0.9912,0.0210,0.0021,0.0000,1,0,0,0,0.5692,0.7276,0.5725,metal_fatigue
causal_data\aircraft damage\test\images\184_17_JPG_jpg.rf.cafd378cd0bef6841c1dbcc5e0c1e8f3.jpg,4,Moderate — 4 damage instances,0.9925,0.0381,0.0011,0.0000,1,0,0,0,0.5720,0.7207,0.5669,metal_fatigue
causal_data\aircraft damage\test\images\184_1_JPG_jpg.rf.f6e9083bd61bd72c1b13cbb7efbcbd0f.jpg,4,Moderate — 4 damage instances,0.9852,0.2237,0.0005,0.0000,1,0,0,0,0.5908,0.6890,0.5460,metal_fatigue
causal_data\aircraft damage\test\images\185_0_JPG_jpg.rf.3d1742c5f4959b25bb221765c6e68eb4.jpg,1,Minor — 1 damage instance(s),0.9851,0.0167,0.0068,0.0000,1,0,0,0,0.5154,0.7078,0.4930,metal_fatigue
causal_data\aircraft damage\test\images\185_8_JPG_jpg.rf.15b385c106a8c7f40273d7031a79159e.jpg,2,Minor — 2 damage instance(s),0.4914,0.9705,0.0004,0.0001,0,1,0,0,0.6243,0.5824,0.4762,impact_force
causal_data\aircraft damage\test\images\186_1_JPG_jpg.rf.6b7fdc2374f7a1c0fac5f07753c504d0.jpg,2,Minor — 2 damage instance(s),0.6393,0.9512,0.0005,0.0001,1,1,0,0,0.6101,0.5890,0.4735,impact_force
causal_data\aircraft damage\test\images\186_21_JPG_jpg.rf.302e0a69a56234fd4f4ccd2737dceb92.jpg,1,Minor — 1 damage instance(s),0.0122,0.9944,0.0010,0.0072,0,1,0,0,0.6530,0.5224,0.4328,impact_force
causal_data\aircraft damage\test\images\186_3_JPG_jpg.rf.6332c600f2eede60fbfbec7b260a2c4d.jpg,2,Minor — 2 damage instance(s),0.2009,0.9885,0.0005,0.0004,0,1,0,0,0.6364,0.5432,0.4477,impact_force
causal_data\aircraft damage\test\images\186_6_JPG_jpg.rf.dd072732b2ab76aada253df5fcde89aa.jpg,1,Minor — 1 damage instance(s),0.0117,0.9944,0.0011,0.0076,0,1,0,0,0.6534,0.5219,0.4329,impact_force
causal_data\aircraft damage\test\images\187_2_JPG_jpg.rf.19c535bdecf6b9d67576df9e5e72140f.jpg,5,Severe — 5 damage instances,0.0663,0.9973,0.0001,0.0001,0,1,0,0,0.7085,0.5773,0.5317,impact_force
causal_data\aircraft damage\test\images\187_5_JPG_jpg.rf.edba561f780c7c65702ef9294d872187.jpg,4,Moderate — 4 damage instances,0.0501,0.9970,0.0001,0.0003,0,1,0,0,0.6855,0.5535,0.4879,impact_force
causal_data\aircraft damage\test\images\188_17_JPG_jpg.rf.be332135e9c740fa8429f3792b2925fd.jpg,1,Minor — 1 damage instance(s),0.9767,0.0856,0.0037,0.0000,1,0,0,0,0.5407,0.6681,0.4764,metal_fatigue
causal_data\aircraft damage\test\images\189_17_JPG_jpg.rf.09eea4bef560662e3f25935a96efa9d1.jpg,2,Minor — 2 damage instance(s),0.8480,0.8801,0.0004,0.0000,1,1,0,0,0.5947,0.6111,0.4796,metal_fatigue
causal_data\aircraft damage\test\images\189_19_JPG_jpg.rf.59637f55527afaee4aab76554aad1683.jpg,2,Minor — 2 damage instance(s),0.9545,0.5832,0.0007,0.0000,1,1,0,0,0.5705,0.6250,0.4718,metal_fatigue
causal_data\aircraft damage\test\images\189_4_JPG_jpg.rf.f7ed7100ecb3164af7cdb91a8c62298a.jpg,2,Minor — 2 damage instance(s),0.9596,0.5128,0.0008,0.0000,1,1,0,0,0.5791,0.6322,0.4906,metal_fatigue
causal_data\aircraft damage\test\images\190_10_JPG_jpg.rf.33433689eebca37cee8ae2f892c37dae.jpg,1,Minor — 1 damage instance(s),0.9842,0.0560,0.0035,0.0000,1,0,0,0,0.5445,0.6787,0.4959,metal_fatigue
causal_data\aircraft damage\test\images\190_14_JPG_jpg.rf.762dbe874b8b5766c132c7ca70380281.jpg,4,Moderate — 4 damage instances,0.8219,0.9666,0.0001,0.0000,1,1,0,0,0.6346,0.6109,0.5114,impact_force
causal_data\aircraft damage\test\images\190_1_JPG_jpg.rf.80a60b63bd6e10ccaf73b47e53284f6f.jpg,1,Minor — 1 damage instance(s),0.9879,0.0240,0.0045,0.0000,1,0,0,0,0.5263,0.7006,0.5009,metal_fatigue
causal_data\aircraft damage\test\images\191_15_JPG_jpg.rf.bbae03b6705fe6bf9094ee78f1e8a4e3.jpg,1,Minor — 1 damage instance(s),0.0131,0.9941,0.0011,0.0068,0,1,0,0,0.6493,0.5282,0.4404,impact_force
causal_data\aircraft damage\test\images\191_20_JPG_jpg.rf.8b104463c610b68b538e7478ad00bea7.jpg,2,Minor — 2 damage instance(s),0.0128,0.9941,0.0011,0.0071,0,1,0,0,0.6565,0.5288,0.4503,impact_force
causal_data\aircraft damage\test\images\191_2_JPG_jpg.rf.ae1a31b8042d229b7a0cc0fb2aaef99e.jpg,2,Minor — 2 damage instance(s),0.0232,0.9879,0.0023,0.0092,0,1,0,0,0.6489,0.5374,0.4613,impact_force
causal_data\aircraft damage\test\images\192_25_JPG_jpg.rf.6441c6ed227344a98632d421713e0f96.jpg,1,Minor — 1 damage instance(s),0.9234,0.1171,0.0068,0.0000,1,0,0,0,0.5572,0.6612,0.4836,metal_fatigue
causal_data\aircraft damage\test\images\192_6_JPG_jpg.rf.b43fac2eb252999abb0cea0c705f8cb4.jpg,1,Minor — 1 damage instance(s),0.0101,0.9940,0.0012,0.0095,0,1,0,0,0.6467,0.5246,0.4236,impact_force
causal_data\aircraft damage\test\images\192_8_JPG_jpg.rf.a6cb4759e78085ac13d5b27d29634678.jpg,1,Minor — 1 damage instance(s),0.0967,0.9790,0.0012,0.0011,0,1,0,0,0.6137,0.5845,0.4572,impact_force
causal_data\aircraft damage\test\images\193_12_JPG_jpg.rf.ae2e8b0124df1c3712edcf6e2be0742c.jpg,1,Minor — 1 damage instance(s),0.9776,0.0776,0.0042,0.0000,1,0,0,0,0.5527,0.6683,0.4976,metal_fatigue
causal_data\aircraft damage\test\images\193_8_JPG_jpg.rf.be5ef9f23dac1729f23767f41286e8e2.jpg,1,Minor — 1 damage instance(s),0.9764,0.0817,0.0042,0.0000,1,0,0,0,0.5466,0.6678,0.4859,metal_fatigue
causal_data\aircraft damage\test\images\194_0_JPG_jpg.rf.347231a99882055e91c506e9b1be6522.jpg,1,Minor — 1 damage instance(s),0.9893,0.0172,0.0048,0.0000,1,0,0,0,0.5158,0.7108,0.5037,metal_fatigue
causal_data\aircraft damage\test\images\194_12_JPG_jpg.rf.d4857f18f0c0171d12c597f58198d45d.jpg,2,Minor — 2 damage instance(s),0.8609,0.8307,0.0007,0.0000,1,1,0,0,0.5976,0.6091,0.4799,metal_fatigue
causal_data\aircraft damage\test\images\194_20_JPG_jpg.rf.53a2fd1ce519cf6c1a14f657a9bcdce5.jpg,1,Minor — 1 damage instance(s),0.9883,0.0213,0.0048,0.0000,1,0,0,0,0.5207,0.7033,0.5016,metal_fatigue
causal_data\aircraft damage\test\images\194_25_JPG_jpg.rf.ed8878555164516727536ce9e2850054.jpg,1,Minor — 1 damage instance(s),0.9910,0.0143,0.0045,0.0000,1,0,0,0,0.5270,0.7175,0.5226,metal_fatigue
causal_data\aircraft damage\test\images\194_8_JPG_jpg.rf.9dc712562c8af0a2a68802c117c420ae.jpg,1,Minor — 1 damage instance(s),0.9880,0.0148,0.0061,0.0000,1,0,0,0,0.5226,0.7120,0.5140,metal_fatigue
causal_data\aircraft damage\test\images\195_11_JPG_jpg.rf.8817324717e1808467610fedf2613cef.jpg,1,Minor — 1 damage instance(s),0.9825,0.0297,0.0058,0.0000,1,0,0,0,0.5387,0.6938,0.5059,metal_fatigue
causal_data\aircraft damage\test\images\195_3_JPG_jpg.rf.78c16fcd008d5a553359f7f9dc9c1170.jpg,3,Moderate — 3 damage instances,0.9896,0.0200,0.0032,0.0000,1,0,0,0,0.5562,0.7173,0.5493,metal_fatigue
causal_data\aircraft damage\test\images\196_3_JPG_jpg.rf.c749bdcfb3a0f006881e653cc85aa40b.jpg,1,Minor — 1 damage instance(s),0.1211,0.9330,0.0032,0.0013,0,1,0,0,0.5985,0.5955,0.4505,impact_force
causal_data\aircraft damage\test\images\197_11_JPG_jpg.rf.ebac0cfd7a09dd32748462616531ace4.jpg,1,Minor — 1 damage instance(s),0.9878,0.0173,0.0056,0.0000,1,0,0,0,0.5172,0.7084,0.4997,metal_fatigue
causal_data\aircraft damage\test\images\197_7_JPG_jpg.rf.5dc58ca69cb715f02f72bb0859f11ccd.jpg,1,Minor — 1 damage instance(s),0.9875,0.0172,0.0057,0.0000,1,0,0,0,0.5160,0.7086,0.4977,metal_fatigue
causal_data\aircraft damage\test\images\198_17_JPG_jpg.rf.aa98c6d99009421742b874ae35676a5e.jpg,1,Minor — 1 damage instance(s),0.9898,0.0191,0.0043,0.0000,1,0,0,0,0.5197,0.7081,0.5016,metal_fatigue
causal_data\aircraft damage\test\images\199_16_JPG_jpg.rf.7c213607ae91f5dcaf70825af295471b.jpg,1,Minor — 1 damage instance(s),0.9894,0.0192,0.0043,0.0000,1,0,0,0,0.5210,0.7098,0.5031,metal_fatigue
causal_data\aircraft damage\test\images\199_21_JPG_jpg.rf.d114ae342281f4e0480c5af2479e6309.jpg,1,Minor — 1 damage instance(s),0.9893,0.0219,0.0039,0.0000,1,0,0,0,0.5205,0.7075,0.4953,metal_fatigue
causal_data\aircraft damage\test\images\199_4_JPG_jpg.rf.cab7736edaef2635f1341c4ac810027b.jpg,2,Minor — 2 damage instance(s),0.8613,0.9284,0.0002,0.0000,1,1,0,0,0.6059,0.5909,0.4744,impact_force
causal_data\aircraft damage\test\images\19_10_JPG_jpg.rf.cb1a43530d85f3fc4a6ae1ee2fc323d2.jpg,2,Minor — 2 damage instance(s),0.0896,0.9936,0.0003,0.0005,0,1,0,0,0.6522,0.5537,0.4657,impact_force
causal_data\aircraft damage\test\images\19_20_JPG_jpg.rf.baa3727c4a012ee6e18a8bff0c90238c.jpg,4,Moderate — 4 damage instances,0.0098,0.9977,0.0002,0.0016,0,1,0,0,0.6998,0.5482,0.4955,impact_force
causal_data\aircraft damage\test\images\1_jpg.rf.ffcd90da8b1551b996b4eb6df919ad89.jpg,2,Minor — 2 damage instance(s),0.9877,0.0182,0.0053,0.0000,1,0,0,0,0.5339,0.7067,0.5208,metal_fatigue
causal_data\aircraft damage\test\images\200_0_JPG_jpg.rf.740fec66cd5a2e4c3cbe8f3f113ca719.jpg,1,Minor — 1 damage instance(s),0.0080,0.9925,0.0017,0.0136,0,1,0,0,0.6442,0.5339,0.4340,impact_force
causal_data\aircraft damage\test\images\200_14_JPG_jpg.rf.968fe72b0324fb9a94e1fa21268868f4.jpg,1,Minor — 1 damage instance(s),0.0819,0.9804,0.0012,0.0012,0,1,0,0,0.6154,0.5807,0.4518,impact_force
causal_data\aircraft damage\test\images\200_19_JPG_jpg.rf.42d33a096c5f006976046c2b42a920ea.jpg,1,Minor — 1 damage instance(s),0.0139,0.9872,0.0023,0.0092,0,1,0,0,0.6339,0.5615,0.4510,impact_force
causal_data\aircraft damage\test\images\200_23_JPG_jpg.rf.d050e7cf03b374b08f67867014c7fdd2.jpg,1,Minor — 1 damage instance(s),0.0079,0.9926,0.0016,0.0138,0,1,0,0,0.6450,0.5333,0.4345,impact_force
causal_data\aircraft damage\test\images\200_4_JPG_jpg.rf.7a8037dca40ef0b0f98d974979877775.jpg,2,Minor — 2 damage instance(s),0.0660,0.9898,0.0007,0.0012,0,1,0,0,0.6334,0.5635,0.4549,impact_force
causal_data\aircraft damage\test\images\200_6_JPG_jpg.rf.d8568840a5c10c43b74b6b4186febb9a.jpg,1,Minor — 1 damage instance(s),0.0080,0.9924,0.0017,0.0136,0,1,0,0,0.6433,0.5354,0.4344,impact_force
causal_data\aircraft damage\test\images\200_7_JPG_jpg.rf.87db4b4b6ea16ce4b00884dc2127e8bd.jpg,1,Minor — 1 damage instance(s),0.0080,0.9935,0.0015,0.0130,0,1,0,0,0.6547,0.5270,0.4430,impact_force
causal_data\aircraft damage\test\images\20140704_180951-1-1-_jpg.rf.f2ee50747f3fb75fa715394eb44a4e5d.jpg,1,Minor — 1 damage instance(s),0.9874,0.0230,0.0047,0.0000,1,0,0,0,0.5268,0.7017,0.5051,metal_fatigue
causal_data\aircraft damage\test\images\202_11_JPG_jpg.rf.ca1221696122143deba7bf3b8751f09f.jpg,1,Minor — 1 damage instance(s),0.0054,0.9800,0.0091,0.0953,0,1,0,0,0.6505,0.5288,0.4547,impact_force
causal_data\aircraft damage\test\images\202_17_JPG_jpg.rf.c6d11eb9fcc208036ed1ebb853b434bf.jpg,1,Minor — 1 damage instance(s),0.9658,0.0238,0.0152,0.0000,1,0,0,0,0.5240,0.6863,0.4852,metal_fatigue
causal_data\aircraft damage\test\images\202_18_JPG_jpg.rf.b4c3e5f7c4676c9c7d736ecd408097d1.jpg,1,Minor — 1 damage instance(s),0.0177,0.9929,0.0012,0.0063,0,1,0,0,0.6490,0.5252,0.4365,impact_force
causal_data\aircraft damage\test\images\202_22_JPG_jpg.rf.947aa79f8d6b267e6263e16ecc506d99.jpg,1,Minor — 1 damage instance(s),0.0045,0.9870,0.0056,0.0755,0,1,0,0,0.6581,0.5215,0.4502,impact_force
causal_data\aircraft damage\test\images\202_25_JPG_jpg.rf.15dea7245d9c2e8a139449427e3ad289.jpg,1,Minor — 1 damage instance(s),0.0121,0.9075,0.0287,0.0638,0,1,0,0,0.6212,0.5750,0.4626,impact_force
causal_data\aircraft damage\test\images\202_8_JPG_jpg.rf.915bb56d1d998c0d4de28c7841347bc1.jpg,2,Minor — 2 damage instance(s),0.1647,0.9875,0.0005,0.0004,0,1,0,0,0.6318,0.5673,0.4617,impact_force
causal_data\aircraft damage\test\images\202_9_JPG_jpg.rf.020769ae146fcecba979626021e803a2.jpg,1,Minor — 1 damage instance(s),0.0193,0.9924,0.0012,0.0054,0,1,0,0,0.6459,0.5344,0.4393,impact_force
causal_data\aircraft damage\test\images\203_0_JPG_jpg.rf.0c010eef87a369c6080ed19ace920a20.jpg,1,Minor — 1 damage instance(s),0.0217,0.9930,0.0010,0.0040,0,1,0,0,0.6341,0.5394,0.4295,impact_force
causal_data\aircraft damage\test\images\203_13_JPG_jpg.rf.15bc31016530f66cf2f065e7fa4bb820.jpg,1,Minor — 1 damage instance(s),0.0237,0.9927,0.0010,0.0036,0,1,0,0,0.6321,0.5422,0.4303,impact_force
causal_data\aircraft damage\test\images\203_14_JPG_jpg.rf.b4fb89e78782da2e874820f38410669c.jpg,1,Minor — 1 damage instance(s),0.7590,0.6630,0.0022,0.0001,1,1,0,0,0.5741,0.6232,0.4586,metal_fatigue
causal_data\aircraft damage\test\images\203_3_JPG_jpg.rf.8eb404713256174114cb642cffc2bed6.jpg,3,Moderate — 3 damage instances,0.8199,0.9646,0.0001,0.0000,1,1,0,0,0.6311,0.5937,0.4993,impact_force
causal_data\aircraft damage\test\images\203_4_JPG_jpg.rf.e19db914e773726d62e3a7a57c509126.jpg,2,Minor — 2 damage instance(s),0.0815,0.9943,0.0003,0.0006,0,1,0,0,0.6570,0.5404,0.4584,impact_force
causal_data\aircraft damage\test\images\204_16_JPG_jpg.rf.d151aa997edcb7b869f40c46592a7732.jpg,1,Minor — 1 damage instance(s),0.0153,0.9942,0.0009,0.0052,0,1,0,0,0.6441,0.5298,0.4245,impact_force
causal_data\aircraft damage\test\images\204_5_JPG_jpg.rf.b4a04702ee0b725db80ee6775cf3a75c.jpg,1,Minor — 1 damage instance(s),0.0357,0.9912,0.0009,0.0023,0,1,0,0,0.6243,0.5516,0.4296,impact_force
causal_data\aircraft damage\test\images\205_11_JPG_jpg.rf.0e24e00aba9c57999aee171c37ddfa24.jpg,1,Minor — 1 damage instance(s),0.0137,0.9949,0.0009,0.0057,0,1,0,0,0.6545,0.5220,0.4329,impact_force
causal_data\aircraft damage\test\images\205_1_JPG_jpg.rf.1b69fc7bfa6697d0393cf8e8bfc239a4.jpg,1,Minor — 1 damage instance(s),0.0317,0.9918,0.0010,0.0032,0,1,0,0,0.6387,0.5404,0.4403,impact_force
causal_data\aircraft damage\test\images\205_23_JPG_jpg.rf.a88b708790f626c998b9def95401abeb.jpg,2,Minor — 2 damage instance(s),0.0404,0.9944,0.0005,0.0016,0,1,0,0,0.6505,0.5342,0.4465,impact_force
causal_data\aircraft damage\test\images\205_6_JPG_jpg.rf.57a88f8ba5f9e97a6c83f543fcd29f23.jpg,2,Minor — 2 damage instance(s),0.0374,0.9945,0.0006,0.0017,0,1,0,0,0.6515,0.5339,0.4470,impact_force
causal_data\aircraft damage\test\images\206_2_JPG_jpg.rf.8e580efed88749e973e4680223ee0561.jpg,2,Minor — 2 damage instance(s),0.7765,0.9594,0.0002,0.0000,1,1,0,0,0.6146,0.5682,0.4664,impact_force
causal_data\aircraft damage\test\images\206_4_JPG_jpg.rf.b83653ff77f9c1cce265305cbb55c4a6.jpg,1,Minor — 1 damage instance(s),0.1370,0.9889,0.0006,0.0006,0,1,0,0,0.6248,0.5531,0.4402,impact_force
causal_data\aircraft damage\test\images\206_9_JPG_jpg.rf.e1665e7b4ebd016e56987d2698602216.jpg,2,Minor — 2 damage instance(s),0.8412,0.9321,0.0003,0.0000,1,1,0,0,0.6031,0.5811,0.4673,impact_force
causal_data\aircraft damage\test\images\207_14_JPG_jpg.rf.f395bd57c4dc8fb46cba9aef878514fa.jpg,2,Minor — 2 damage instance(s),0.9815,0.2338,0.0009,0.0000,1,0,0,0,0.5710,0.6623,0.5067,metal_fatigue
causal_data\aircraft damage\test\images\208_19_JPG_jpg.rf.938a10a9c991c5d0dd19636d9d0e4dc2.jpg,1,Minor — 1 damage instance(s),0.9833,0.0665,0.0031,0.0000,1,0,0,0,0.5371,0.6772,0.4854,metal_fatigue
causal_data\aircraft damage\test\images\208_23_JPG_jpg.rf.38b7b7882fe0db4dfebbacea0050361d.jpg,1,Minor — 1 damage instance(s),0.9866,0.0233,0.0051,0.0000,1,0,0,0,0.5226,0.7002,0.4953,metal_fatigue
causal_data\aircraft damage\test\images\208_24_JPG_jpg.rf.f321478fc8873e5dc2f49b2cced75b27.jpg,1,Minor — 1 damage instance(s),0.6098,0.8941,0.0010,0.0001,1,1,0,0,0.5889,0.6078,0.4601,metal_fatigue
causal_data\aircraft damage\test\images\210_0_JPG_jpg.rf.1d9ffb75a1613dd0dc6573fa61223099.jpg,1,Minor — 1 damage instance(s),0.0137,0.9941,0.0011,0.0068,0,1,0,0,0.6483,0.5223,0.4272,impact_force
causal_data\aircraft damage\test\images\210_12_JPG_jpg.rf.ccbbe64b33974aa6c37eafa2d086f593.jpg,2,Minor — 2 damage instance(s),0.9728,0.1245,0.0026,0.0000,1,0,0,0,0.5651,0.6702,0.5028,metal_fatigue
causal_data\aircraft damage\test\images\210_19_JPG_jpg.rf.2c4a796912fd0d1f4845df813a88969b.jpg,1,Minor — 1 damage instance(s),0.0172,0.9894,0.0017,0.0069,0,1,0,0,0.6268,0.5491,0.4283,impact_force
causal_data\aircraft damage\test\images\210_23_JPG_jpg.rf.43e690cc0f01015ed76f15f2ef2cff4f.jpg,1,Minor — 1 damage instance(s),0.0132,0.9942,0.0010,0.0069,0,1,0,0,0.6491,0.5214,0.4274,impact_force
causal_data\aircraft damage\test\images\210_25_JPG_jpg.rf.da62914a9ce072905416aca469dbe2ac.jpg,3,Moderate — 3 damage instances,0.0973,0.9947,0.0002,0.0003,0,1,0,0,0.6518,0.5565,0.4649,impact_force
causal_data\aircraft damage\test\images\210_9_JPG_jpg.rf.7593b7a34e39695ee388123cceddfa14.jpg,1,Minor — 1 damage instance(s),0.0152,0.9945,0.0009,0.0056,0,1,0,0,0.6511,0.5213,0.4295,impact_force
causal_data\aircraft damage\test\images\211_12_JPG_jpg.rf.575f8bfc03f594b0b7fee3275c2ac15c.jpg,2,Minor — 2 damage instance(s),0.0478,0.9942,0.0005,0.0011,0,1,0,0,0.6478,0.5459,0.4530,impact_force
causal_data\aircraft damage\test\images\211_25_JPG_jpg.rf.b586b5fd29584d3cc9dc9c00ae936536.jpg,2,Minor — 2 damage instance(s),0.0348,0.9939,0.0006,0.0018,0,1,0,0,0.6438,0.5430,0.4441,impact_force
causal_data\aircraft damage\test\images\213_0_JPG_jpg.rf.d30614336753ed8c73e84ab816634985.jpg,1,Minor — 1 damage instance(s),0.0095,0.9954,0.0009,0.0079,0,1,0,0,0.6559,0.5180,0.4279,impact_force
causal_data\aircraft damage\test\images\213_10_JPG_jpg.rf.1e8b250f20060b37bede61c2ce48950d.jpg,2,Minor — 2 damage instance(s),0.2715,0.9829,0.0005,0.0002,0,1,0,0,0.6175,0.5752,0.4578,impact_force
causal_data\aircraft damage\test\images\213_18_JPG_jpg.rf.ea281ca9d66c8510649a572aa522c3d6.jpg,1,Minor — 1 damage instance(s),0.0093,0.9954,0.0009,0.0077,0,1,0,0,0.6558,0.5193,0.4288,impact_force
causal_data\aircraft damage\test\images\213_1_JPG_jpg.rf.5ee4d9da18a3f36283706d73b6c57525.jpg,1,Minor — 1 damage instance(s),0.0069,0.9953,0.0011,0.0140,0,1,0,0,0.6631,0.5068,0.4296,impact_force
causal_data\aircraft damage\test\images\21_0_JPG_jpg.rf.81c8c187db7c8e9ca2b6d43538ad3708.jpg,1,Minor — 1 damage instance(s),0.9762,0.0509,0.0058,0.0000,1,0,0,0,0.5515,0.6751,0.5031,metal_fatigue
causal_data\aircraft damage\test\images\21_11_JPG_jpg.rf.e238b7ffd8f943342669a1b34a3b4101.jpg,1,Minor — 1 damage instance(s),0.9850,0.0473,0.0040,0.0000,1,0,0,0,0.5449,0.6805,0.5057,metal_fatigue
